id,max
1.0,2211.0
2.0,2226.0
3.0,3145.0
4.0,2553.0
5.0,2567.0
6.0,2216.0
7.0,2266.0
8.0,2503.0
9.0,774.0
10.0,2420.0
11.0,600.0
12.0,1250.0
13.0,788.0
14.0,890.0
15.0,613.0
16.0,1182.0
17.0,3149.0
18.0,1793.0
19.0,1410.0
20.0,704.0
21.0,976.0
22.0,2356.0
23.0,559.0
24.0,668.0
25.0,957.0
26.0,1200.0
27.0,953.0
28.0,1090.0
29.0,867.0
30.0,2724.0
31.0,950.0
32.0,1196.0
33.0,4105.0
34.0,1694.0
35.0,712.0
36.0,6511.0
37.0,435.0
38.0,580.0
40.0,840.0
41.0,23765.0
42.0,3871.0
43.0,52784.0
44.0,85020.0
45.0,96264.0
46.0,69427.0
47.0,56220.0
48.0,88996.0
49.0,18956.0
50.0,43083.0
51.0,24014.0
52.0,40980.0
53.0,40599.0
54.0,14790.0
55.0,155133.0
56.0,25027.0
57.0,70047.0
58.0,27195.0
59.0,75654.0
60.0,123118.0
61.0,137826.0
62.0,12616.0
63.0,29049.0
64.0,46740.0
65.0,32380.0
66.0,1724.0
67.0,66098.0
68.0,27937.0
69.0,97436.0
70.0,26719.0
71.0,38777.0
72.0,10734.0
73.0,33777.0
74.0,49167.0
75.0,32196.0
76.0,53052.0
77.0,36561.0
78.0,36289.0
79.0,18048.0
80.0,89761.0
81.0,41026.0
82.0,12125.0
83.0,10882.0
84.0,1824.0
85.0,17576.0
86.0,39349.0
87.0,1930.0
88.0,2576.0
89.0,14500.0
90.0,10564.0
91.0,28375.0
92.0,6877.0
93.0,9251.0
94.0,32477.0
95.0,10714.0
96.0,93846.0
97.0,89746.0
98.0,141879.0
99.0,30107.0
100.0,28515.0
101.0,13160.0
102.0,4382.0
103.0,23376.0
104.0,11619.0
105.0,112719.0
106.0,47570.0
107.0,1296.0
108.0,1967.0
109.0,923.0
110.0,1074.0
111.0,1479.0
112.0,1315.0
113.0,1286.0
114.0,1402.0
115.0,969.0
116.0,1241.0
117.0,508.0
118.0,103.0
119.0,5244.0
120.0,1541.0
121.0,1598.0
122.0,677.0
123.0,1533.0
124.0,1148.0
125.0,1256.0
126.0,2289.0
127.0,648.0
128.0,375.0
129.0,442.0
130.0,334.0
131.0,1260.0
132.0,669.0
