"billboard_id","my_count"
"9866c2c36bf8a31769d46fa200912038","2069601"
"7ff798e5ff69e83096738de528e6f864","2042012"
"5d90f93c352071e419ac3433a1b26727","1755313"
"f2a8fea85d723bd01600c31a307d1e81","1718096"
"6297172c63f2ca92ddda16d2ede75d62","1698301"
"2b699303c2a42fd2401950f56489f882","1557453"
"d45913e5ed6ccff1ac88d9de870bc39c","1413641"
"349177a30cc7d91c3d57ec16020d2ba0","1363152"
"2989cd7bdffcd2ae0db4867f63207719","1342726"
"7279cb960374a9755640ac9b8f278837","1267435"
"f8a206102479d91df60c3098c7b3f176","1267435"
"0aef77d8a4f00ded04ae497a1d054741","1255680"
"0e0d651a3c0296eaf654fb8b7fdb3d81","1255680"
"783b4bc32961a98ad53b0b757c9d4cfa","1237467"
"e07d7d6625be6e3374f36b5643438212","1190078"
"a3c1e3369cc070b017e108995bc7420d","1190078"
"c6ff58b2a018f05e10eff4c69c9d7db7","1173411"
"2d5ca1a5d6ac71e2da0bc0ade26b9528","1173411"
"c24556d102db70d8e1e8153b512d2828","1155824"
"5209c68937a67770422b4f8a9bb4a92d","1155824"
"7bd5f8ce4aeaf18d24efb51628d80887","1104737"
"0308a04ff5e8ca195818f6fd3d322b91","1032476"
"8f4c55b1fe9cff56f46d55718a456727","1031121"
"a0310e9c4b241e16e9154a48334e3f3c","1014437"
"119263ed9c3b506a6f33e48d8c241347","1003754"
"2aafbcf2e5b73bde64b42503270af80d","1003754"
"f45246397411f730e9a7cdef5b518cdc","975276"
"6e557ac56ff56e67c1c67b73df12b235","975276"
"104770c5f74018df89323fa23fa5faec","975276"
"536fd2ea8118773eaf1bcc41629c9bbc","946352"
"af7ff17cf79e40948652a0760ee01dc1","935214"
"f0ee6ca5852c36799cd918bc8560b0aa","935214"
"c01d5f0538d51eae25ce2c5126268e23","865846"
"f83e42ddbf38e358159dd9221e0149ff","851977"
"5e26a78a7b8d3406239fd720b561e18f","849579"
"52b777ad670a66a608318adf08ad0dc2","849579"
"90066a59e9059bc5edde4cb7c7a4f715","848076"
"bee83f8c20b2283b4ed2253fd451c3e8","843704"
"8371fd953219874384918fd775bcf1c6","843704"
"ae609955dad58157d2d5fe3dedfc5b29","830544"
"bb1270c6669cd89e6a10ebb2d6002de0","827634"
"31a40c6ea84c13ed77ec6c63f633403a","827634"
"2db3acc0d509952aa4bb987bfa1a343c","827497"
"303eb53b44fa60c06aa004a88b43073e","827497"
"b3859ebc2b82c40cad4c02fdfe3fc7c5","827486"
"b8fb10a011712082ea02aaf464d9224c","827486"
"3a6f360033a1c7d340b9560e1012e5a0","827206"
"c2ae668ea1d043cc45a3b059a46e45ee","826730"
"8018760dd370c060173d2bada42d4575","815154"
"47f426c32d04141370859ef36682c7b5","815154"
