"billboard_id","my_count"
"9866c2c36bf8a31769d46fa200912038","38940"
"7ff798e5ff69e83096738de528e6f864","37309"
"d45913e5ed6ccff1ac88d9de870bc39c","33579"
"349177a30cc7d91c3d57ec16020d2ba0","32561"
"f2a8fea85d723bd01600c31a307d1e81","32101"
"2b699303c2a42fd2401950f56489f882","29689"
"8f4c55b1fe9cff56f46d55718a456727","25943"
"0308a04ff5e8ca195818f6fd3d322b91","25499"
"6297172c63f2ca92ddda16d2ede75d62","25460"
"5d90f93c352071e419ac3433a1b26727","24063"
"a3c1e3369cc070b017e108995bc7420d","23055"
"e07d7d6625be6e3374f36b5643438212","23055"
"2d5ca1a5d6ac71e2da0bc0ade26b9528","23028"
"c6ff58b2a018f05e10eff4c69c9d7db7","23028"
"4631e1f94ab89312748fd9da5c6cb44f","22635"
"6aba63a9fa008c39c6e17ead9e75e800","19880"
"2989cd7bdffcd2ae0db4867f63207719","18485"
"781c0b41a697ff481553fb0fc6ff2e62","18451"
"6de808d618ec06e9ee926d946486f4db","18344"
"ae609955dad58157d2d5fe3dedfc5b29","18121"
"637841f02bc94641c847fc57a87c1cbf","16615"
"783b4bc32961a98ad53b0b757c9d4cfa","16455"
"f0c469465f0a75bceb15a1520272f8a5","16195"
"7522ad39368dee60abc9c0cfb3825ca1","15635"
"f83e42ddbf38e358159dd9221e0149ff","15158"
"10e5153c9f30fbf04be7fe8947a06451","15137"
"86f8c041c5bdb2b5f8ba237dbce05dc9","14483"
"7bd5f8ce4aeaf18d24efb51628d80887","14294"
"14cfb0dc479d8f4124023b7a7b75ee30","14217"
"55a9e678f553eb9d7053a645f43fd048","14069"
"d667699d814523a53f7c0750af567dbc","14035"
"e411769b980a2eb26dc08ae11f278974","13818"
"ffbe1f66d637a1b6ad6728b662d7a57f","13708"
"684f912e925622d47e8f3a2855911844","13697"
"536fd2ea8118773eaf1bcc41629c9bbc","13305"
"45ab118f13f0ec4df84b8e207beccfbd","13230"
"a20eb91fca9fba915eb59662bab03f12","13147"
"53bf62b55db49486193a659c6c475236","12976"
"cdecf553472dbcfeb1c239f54d440ca5","12962"
"cc04992b6ba275675cfadb8ffd5de602","12960"
"b633438a3b27f9a263d097d4f769767f","12960"
"32eecca5c67af454b2e85ca4c9fcfd15","12955"
"5e456074e6e07b9e6cb901fb41502ba9","12933"
"4356ea97a52b2afb6951b6553902c5c9","12863"
"7797e761c335dc26d87d8055ec3dcb2a","12791"
"203169773271e554b429f015f8321cda","12776"
"fdddb7bd2de2121e6cbaef433555e577","12776"
"58b4d75fff5ce3622134a89c1f1da46c","12522"
"e6d1ef757ecb282863f6d4c60f97d415","12522"
"cc4b02c72a669c10d330536c06c0e3b2","12497"
"f68dd6d7ab742bdc600fe643251fb5b4","12411"
"a4a8af7af950b0a620ad3b44f93d6927","12307"
"f8a206102479d91df60c3098c7b3f176","12279"
"7279cb960374a9755640ac9b8f278837","12279"
"5209c68937a67770422b4f8a9bb4a92d","12242"
"c24556d102db70d8e1e8153b512d2828","12242"
"0aef77d8a4f00ded04ae497a1d054741","12210"
"0e0d651a3c0296eaf654fb8b7fdb3d81","12210"
"8156d6da60f4209394fc98c45bd8f0f5","12161"
"c1bdd17f955047c7475eb04b89fb9e5c","12084"
"78637dc1896b632516beccf44a8a7d1e","12015"
"421cab3b3c090823be4bf7d5f6ea4457","11885"
"3adc82916e01db583f17e1a90bbda364","11876"
"a0310e9c4b241e16e9154a48334e3f3c","11854"
"a962701529925b0b5a21821b3a4959eb","11762"
"40ca7b906b8f89f5eb4a21e7c3b093e4","11756"
"61bb530d384f415a51c66dea4500b6a8","11683"
"1167b67f0847e61ea1b7ec2ce28be71c","11605"
