"billboard_id","my_count"
"6297172c63f2ca92ddda16d2ede75d62","53836"
"5d90f93c352071e419ac3433a1b26727","47153"
"9866c2c36bf8a31769d46fa200912038","46757"
"7ff798e5ff69e83096738de528e6f864","44598"
"f2a8fea85d723bd01600c31a307d1e81","38007"
"783b4bc32961a98ad53b0b757c9d4cfa","37547"
"7bd5f8ce4aeaf18d24efb51628d80887","37304"
"2b699303c2a42fd2401950f56489f882","36140"
"45ab118f13f0ec4df84b8e207beccfbd","32380"
"684f912e925622d47e8f3a2855911844","31707"
"2cbec5a91ba20d56fdee6b817715d942","30787"
"78637dc1896b632516beccf44a8a7d1e","30124"
"251f3392e56e2ee12637ab0445452bf7","29182"
"d0b2bb888485924ef9e6ef2874a8de51","28943"
"dfe760b9a0d8cebab1a638c7d5d7c02d","28850"
"02343351ab88afb442a1a99192a4bcee","28841"
"e07d7d6625be6e3374f36b5643438212","27423"
"a3c1e3369cc070b017e108995bc7420d","27423"
"e39cb680b74a5773b767285d4a456ba2","26707"
"c6ff58b2a018f05e10eff4c69c9d7db7","25792"
"2d5ca1a5d6ac71e2da0bc0ade26b9528","25792"
"5e26a78a7b8d3406239fd720b561e18f","24793"
"52b777ad670a66a608318adf08ad0dc2","24793"
"146c0d0c3ebce55a9bb21c52b77e98f9","24578"
"cfbcf136b31f586ddef8529b2549ed54","24529"
"d5c817306931b747c2708c9b777ab98c","24462"
"3162ed4aab63585284c718cdd60468b8","24462"
"edf3b25a6a287649737bd37971fba44b","24277"
"e05f421db4507720f2b9bbc6a2bcf000","24277"
"0e915318e852da4ec68c7b5c89f90860","24277"
"3ecfe9c71494912e8654f56248790f34","23667"
"a0310e9c4b241e16e9154a48334e3f3c","23624"
"287dffec08636ea1580ec7f8e0a62394","23612"
"b829dcd4eae397f1cb2819aff404f79d","23602"
"cc04992b6ba275675cfadb8ffd5de602","23455"
"b633438a3b27f9a263d097d4f769767f","23455"
"d45913e5ed6ccff1ac88d9de870bc39c","23304"
"d3793e3d9002bb5e6bf109dac999c7d9","23273"
"f6df38d59ff6b0b4ab881e22108fd590","23127"
"61a33e9203ed14bed018f14007a0028f","22953"
"7279cb960374a9755640ac9b8f278837","22854"
"f8a206102479d91df60c3098c7b3f176","22854"
"53bf62b55db49486193a659c6c475236","22719"
"0aef77d8a4f00ded04ae497a1d054741","22539"
"0e0d651a3c0296eaf654fb8b7fdb3d81","22539"
"349177a30cc7d91c3d57ec16020d2ba0","22501"
"5a3240b59eca09edb10571954e09f66e","22341"
"fc7d6ba4c817dfa96b1b465d11d4ca46","22341"
"24f1f2162463b6650a11e96823665904","22315"
"84ef611f42b30ea2b0509b6a18d88742","22275"
"da5aa39b084c369f758e259f8622e427","22275"
"7abcbe72dfeafef96766b262dfd78271","21843"
"7c4fdf89bf240763b10e5b7b04006433","21768"
"10c643f23c78b3494d44ced02a93eaf8","21687"
"d643c97a78db853ccddfd5e49bbf2eb9","21361"
"feec27b7ea970dc85424bc243014967d","21119"
"41324cf88ee1233bba4eb9c31584ffa2","21119"
"e7b5afd6e789a83e6d3fa3788864df73","21077"
"a85d9ecee9eb620be105bc1162e1df51","20834"
"d7161f9fa70a61a0ec71b05ea6d3efd1","20834"
"e33da20d51c8a347a155cb2a20900b61","20826"
"187afe364b7f17aa3ceb3eb557322d89","20800"
"f3123a139596f36546313685473fcfa9","20764"
"6e75c0621b4988dabb5741bea0a7cbfe","20758"
"d64609d5ece4f4972f93d5932344bab0","20702"
"e07e112d14e9c52c49b5536f25ceede6","20616"
"7797e761c335dc26d87d8055ec3dcb2a","20569"
"c33cb5925ceb73dbfa95da739f849af3","20434"
"104770c5f74018df89323fa23fa5faec","20279"
"f45246397411f730e9a7cdef5b518cdc","20279"
"6e557ac56ff56e67c1c67b73df12b235","20279"
"119263ed9c3b506a6f33e48d8c241347","20139"
"2aafbcf2e5b73bde64b42503270af80d","20139"
"8853bf8ab0db05915555230859f02817","20098"
"45ce23cdc8fbfdc1b09822a3d0991e72","20098"
"524765b3f500f0aa17efb3da8a19e5ce","20074"
"58ae69976981e5572e4903d33eab14e7","19992"
"ae609955dad58157d2d5fe3dedfc5b29","19959"
"81e94546ab720104f387a02071b951f1","19850"
"5ac63fb9dbb560f80200e72d9bd6fcc5","19763"
"c4e2ff237289cef37c7b7b96ec61a9b5","19703"
"536fd2ea8118773eaf1bcc41629c9bbc","19663"
"8018760dd370c060173d2bada42d4575","19442"
"47f426c32d04141370859ef36682c7b5","19442"
"b2d077742898ac7e0251857d312530e5","19310"
"a50dc49ebda2855bb01d5286af1b47e9","19310"
"84a6a8a420165f4033580c1ebc2302ef","19263"
"c1d75868329bf8fe78df2e0f87e798d7","19263"
"5209c68937a67770422b4f8a9bb4a92d","19210"
"c24556d102db70d8e1e8153b512d2828","19210"
"e4fd001516ad2dbf8174ac45906d97ed","19158"
"ca72e7bce8721badf3ebbbc53209d791","19124"
"9cc1bad4d10838dfb86986f584e073a2","18925"
"1bf6f8cb82c94124ff4cea6c3a4579ec","18791"
"0b77fbf5014bb4677efc20f0d0829cb1","18791"
"f0ee6ca5852c36799cd918bc8560b0aa","18741"
"af7ff17cf79e40948652a0760ee01dc1","18741"
"319edce51614cdad739a389a097ec6e8","18686"
"fbceab846dae85e58ab37db701590d99","18656"
"4b5e8c229ec52a25a23bf5688d50ba03","18656"
"b6faac848decbd339c4c4773d62e05a6","18577"
"278f33bf8363207bc4d7c7e0c2132da1","18505"
"9afbebf613d6384b5ab7d89836ea7201","18377"
"345a3c2eca027c3b5dd02e48f2e08098","18298"
"a0b659ed62fea7fd2bde82a255977534","18297"
"be039a564f6d80cd692f2d7109318a17","18240"
"4b3e193847c37bc5f2b4b4b39dd71311","18240"
"2989cd7bdffcd2ae0db4867f63207719","18190"
"0020f660bba38dea5f27912fcb7431d7","18177"
"c43cd27e0f68d98a23c84e4cbd93ff57","18177"
"45911877eaf770f1516dafd3956330d7","18020"
"070c9bc40dae083fba593aaa88a45473","18020"
"dcdd87e3d12bd5f3d0679788bcdb4979","17969"
"7ebfe2294f8bc47545c5e128f6a6d9e4","17969"
"de47fa4f5dba12e800508320e23a675b","17915"
"f5e7bc09077787b8227d7cea8718f890","17907"
"4655c2cfb44be6ca02bf948e00563066","17907"
"07901318d019560121a544625a7c0cbe","17894"
"e2516a4c8a0d9ba85b4f7d9f4b99f02d","17844"
"98d81e5c9a7b900cce4103dd60ac3e97","17844"
"c30523da7d6f5e07dfb558dbfde7cef3","17844"
"1dc84694c582533c3f7b9ab471613c93","17844"
"9ab91185155a4d3c736d9f30a93392ed","17770"
"8b7ce4e509e3a9701f67775ca9b9118f","17719"
"02b4f94bee9b4a7b247bc44ed59eb6bb","17672"
"7e0210bec7f970e306f26d87e9f0e48d","17672"
"8c131a6e51352e6c24a88cb4e0ebbf7c","17632"
"f7f5716875419326893bfcf060a3a9b6","17611"
"913e03811b16b6e702b31e2e84499fbb","17603"
"66bec423f9aad8fd06fda86aa902b55c","17572"
"5318c40196bad974445dcf8528532cfd","17568"
"0308a04ff5e8ca195818f6fd3d322b91","17491"
"08dd52db3fbafdd36652c9b761b69a04","17475"
"b9ad79b88b9c530bfbfc621bd67a232d","17423"
"a3d8e97bfcb4f9b8cd38195106266170","17266"
"9466e5e0edd040e0b5c84a1302ac7604","17205"
"ea24a84f9256007beb3d44afdbc5efcd","17121"
"60b02698aa424669c8f271dacd03e02a","17121"
"5296a71a808af394fcb2d4f94a14c1e5","17011"
"d9d4d8a9d4ee4dae32a2fca975f88716","16956"
"ef7b6519581568d5c177f4239e0aeda6","16956"
"d1d5ce13d1619c5b3dd64cb591853d0c","16876"
"dccc6a4215efea9ab55a22571dd33653","16796"
"818951c7fe274b24ed0ddd27e6b73bc4","16796"
"638f1ff642a37aa952671a1ec945dd33","16585"
"e9fb8e677ed8a76d2744f83e79f73a89","16481"
"8b7ec312d75d6f740858c597da782e3d","16425"
"103f10543382c4156c07012e3401b5e7","16425"
"a962701529925b0b5a21821b3a4959eb","16355"
"c96caca74d767460dba0dc274d91a378","16293"
"3bf011edc0dd6ae3b85c9809eaa3e4be","16293"
"1f27235586e4bffc85535dd5886a5c3b","16274"
"9b1c895532ee629f6c9610ec92c63a7e","16245"
"980df5b60ee5df2080c9810f4bcae92e","16179"
"d05379a40eb34e56d809ec5092d332f7","16107"
"5611757bc7f9b4b08c110f3b8db08331","16095"
"991b802985e20b80dda1b3bc5ff9b7ad","16095"
"637841f02bc94641c847fc57a87c1cbf","16084"
"55a9e678f553eb9d7053a645f43fd048","16080"
"bda3d4af627d98f94f6d2ae80bfedf16","15958"
"51f0fbbf8ee4de3f0118f98dc4ba776c","15940"
"705b55be4bf4ad63b97965da5a845228","15940"
"e03f09df9ce8c4e894a8e2591905c5a9","15936"
"12b543460fbd0ebb7e1d20aea5a56d19","15927"
"8f4c55b1fe9cff56f46d55718a456727","15884"
"afaca62a08f6d953780f48a7daf561b7","15884"
"6898dbb3a29aabae09e9d6027d672411","15858"
"b4ccb6f270dc39c7172b16bc67a1c769","15854"
"8bbf3ba74c9e22ec8ba31bfe5e965c76","15853"
"40ca7b906b8f89f5eb4a21e7c3b093e4","15846"
"abb6749d2fc9875ae26d4ac86991e9f4","15844"
"c773058e828b580d9abf3f5236595dfc","15842"
"d8289233f1ee8a227765f9202bae49db","15842"
"afddf672d8e9ac56287fea14e7b69bd3","15803"
"7f01bf9e93797ffb162ded2cc09d1f34","15709"
"c53370e16227f9abfb39992d5ed9deea","15692"
"1090aa1c0c364b2d5eec9bbfbff08bb1","15669"
"6b1cb8b0210bc9024d4d57daff44484b","15634"
"6a2888e704d25b7a651f9ff4595a6be0","15621"
"a05882d0fd010f77bd3e902a458a0fa6","15609"
"bd651e7eaa61cf3a61e4509da79bf937","15609"
"399ac862a7eae38a60f8d0e7c4b8d040","15570"
"fb5e7b1e3845319179e03e45d5b753a0","15570"
"e2385f09b6d7f5a0f07708f0cfa5a359","15567"
"591886b908095f54ceda2e7c27503204","15541"
"d8ec73665fc7a169fef0cbdbbd0c00ae","15538"
"026768aef5ec7e6a81b863c1e846782e","15536"
"3d613bcfa7785b1d4e849d024b2ff16f","15494"
"31a40c6ea84c13ed77ec6c63f633403a","15492"
"bb1270c6669cd89e6a10ebb2d6002de0","15492"
"2db3acc0d509952aa4bb987bfa1a343c","15485"
"303eb53b44fa60c06aa004a88b43073e","15485"
"b8fb10a011712082ea02aaf464d9224c","15484"
"b3859ebc2b82c40cad4c02fdfe3fc7c5","15484"
"83c258cd6b92ba92267329cf13258b6e","15439"
"45f6a315b80057df3cca085d14cc1411","15434"
"61074092d71d5f70bec5880a128e41fd","15434"
"207a6fbcfa978bbf05c99582fd939b15","15333"
"909c67a7ea7f19a9695c142e622172ae","15279"
"90066a59e9059bc5edde4cb7c7a4f715","15279"
"ea6690bfa05dbb36966afcc48a32037e","15268"
"f62ed919a1189534e8fd71e6f78052b8","15268"
"df85cf96518039cb5e2db1cdec6037f5","15181"
"8b4c0b1fdfe9cf67d65ef185486e7def","15140"
"feec5f8c6be04b7a858d0069afca4fad","15140"
"4f46580f119727ba206e23742f9f0f5a","15123"
"e0428451a8a24ece3fd4b2cc65f6d9bc","15123"
"383709862066ead3e7220764cebaa402","15108"
"37f464c0515505f370f7cb568e98b326","15081"
"2505ec2ec2e3ef3595a98e36fc7e3fe7","15081"
"a1b7d6a1f8d08ccfea3196abb7bb8bbd","15065"
"c377ca9817edddb3dae432c958a053cb","15065"
"b0da48df749ce917c3a9e9c577a215e5","15055"
"d357203765599f62c4a6ecfc4ffe741c","15032"
"6d9d50e77671206940d6f24949148457","14998"
"2beed3287f4dfbd37afb810f1ca65432","14998"
"3a6f360033a1c7d340b9560e1012e5a0","14985"
"a3dead25069db0f2c3d0d809574d26ec","14985"
"ca33f2df71e511ce4923679dbe2edd16","14932"
"01d5fb1844c6eeed45af73cd115bc96b","14932"
"b08bb6fad81fe7d5406f12598313c3b9","14895"
"a1a00de269f56da2cd433bb6aa0428ca","14884"
"ba134900174d23a46965ca2f0b024aa3","14843"
"41142fb77aec4284b8b7fadf5e3247f6","14808"
"c7622a7526f46f68317aef62a51debcd","14786"
"a5331ef6848f3b3bc3f6b023d81711d7","14786"
"d6ef3263719bafb1a0d7b9a0a2b198f7","14675"
"982c90adaa231b65b3521ff4e5dd504c","14675"
"b8b62cfe6ede0b8cfa2d01b0e129ac16","14633"
"6ce335455629517a0269d11c7c4f1318","14633"
"6e33b8fc58b68e0e7b2a4dbaabc96a2d","14608"
"1a832359df641c74b05da1e84a01f019","14588"
"5a154ee3b333bbffa3cbaba92b22b281","14582"
"e2a1e94b6764f112ec63a21c1b9bd847","14538"
"9d92aa459f285684a546100fdc2f2312","14538"
"32eecca5c67af454b2e85ca4c9fcfd15","14538"
"cc3083ec4bc6cc377aec164183b6eeb4","14521"
"254321c45253b9564964fac45aa12052","14517"
"1bc78bf631bdff82b8a84890fb2a2f12","14517"
"c4d11e1f5bb3c07ecfdfcae729d3fa73","14510"
"3048f075e8f8ab10dc63a555826870a5","14510"
